categoria;assunto;enunciado;a;b;c;d;e;correta
Arrais Amador;Geral;"O que é um ""burro"" em termos de navegação?";Um tipo de ave marinha;Um dispositivo para içar as velas;Uma ferramenta para ancoragem;Uma parte da embarcação;Um Dispositivo instalado na base do mastro interligando-o com a retranca usado para puxá-la para baixo;Um Dispositivo instalado na base do mastro interligando-o com a retranca usado para puxá-la para baixo
Arrais Amador;Geral;"O que significa ""adernar"" em navegação?";Manter a embarcação parada;Inclinar a embarcação para um dos bordos;Ajustar as velas para maior velocidade;Mudar de direção rapidamente;Levantar a âncora;Inclinar a embarcação para um dos bordos
Arrais Amador;Geral;"O que são ""adriças"" em um barco?";Partes do casco;Ferramentas de navegação;Cabos usados para levantar ou içar as velas;Dispositivos de comunicação;Equipamentos de segurança;Cabos usados para levantar ou içar as velas
Arrais Amador;Geral;"Qual é a ""alheta"" de uma embarcação?";A parte traseira;A parte dianteira;Uma área de armazenamento;Um tipo de vela;Parte da embarcação entre o Través e a Popa;Parte da embarcação entre o Través e a Popa
Arrais Amador;Geral;"O que é um ""amantilho"" em um barco?";Uma parte do casco;Uma ferramenta de direção;Um cabo de ancoragem;Um dispositivo de iluminação;Cabo preso ao topo do mastro, que suporta a retranca prevenindo a sua queda no convés quando se abaixa a vela grande;Cabo preso ao topo do mastro, que suporta a retranca prevenindo a sua queda no convés quando se abaixa a vela grande
Arrais Amador;Geral;"Quando se diz que há ""amuras a Bombordo"", o que isso significa?";O lado de Estibordo recebe o vento;O lado de Boreste recebe o vento;O barco está ancorado;O barco está sem velas;Quando o lado de Bombordo é o que recebe o vento (Barlavento);Quando o lado de Bombordo é o que recebe o vento (Barlavento)
Arrais Amador;Geral;"O que significa ""arribar"" em termos de navegação?";Girar a Proa no sentido de afastá-la da linha do vento;Manter a proa na direção do vento;Inclinar a embarcação para um lado;Mudar de direção abruptamente;Aproximar-se da linha do vento;Girar a Proa no sentido de afastá-la da linha do vento
Arrais Amador;Geral;"O que é um ""balão"" em termos de navegação?";Uma parte da embarcação;Uma ferramenta de navegação;Uma vela usada com ventos contrários;Em inglês Spinnaker, Vela de Proa muito leve e grande usada com ventos de popa até o través;Um dispositivo de segurança;Em inglês Spinnaker, Vela de Proa muito leve e grande usada com ventos de popa até o través
Arrais Amador;Geral;"Qual é o significado de ""barlavento"" na navegação?";A direção de onde vem o vento;A parte mais larga de uma embarcação;Um tipo específico de vela;O lado esquerdo da embarcação;O lado direito da embarcação;A direção de onde vem o vento
Arrais Amador;Geral;"O que é a ""boca"" de uma embarcação?";Uma parte lateral;Uma parte da vela;Uma ferramenta de direção;Um tipo de vela;A parte lateral mais larga de uma embarcação;A parte lateral mais larga de uma embarcação
Arrais Amador;Geral;"O que é a ""bochecha"" de uma embarcação?";Uma parte da vela;Parte da embarcação entre a proa e o través;Uma parte lateral;Um tipo de vela;Uma parte traseira;Parte da embarcação entre a proa e o través
Arrais Amador;Geral;"O que significa ""bombordo"" em termos náuticos?";O lado esquerdo da embarcação;O lado direito da embarcação;Uma parte da vela;Uma direção específica do vento;Uma parte do casco;O lado esquerdo da embarcação
Arrais Amador;Geral;"O que é ""bordejar"" ao velejar?";Velejar contra o vento usando uma série de cambadas;Velear com o vento a favor;Manter a embarcação parada;Ajustar as velas para maior velocidade;Girar a proa através da linha do vento;Velejar contra o vento usando uma série de cambadas
Arrais Amador;Geral;"O que são ""brandais"" em um barco?";Cabos de aço para içar as velas;Partes do casco;Dispositivos de iluminação;Cabos de aço estendidos lateralmente até o topo do mastro, que impedem o seu movimento para os lados;Equipamentos de segurança;Cabos de aço estendidos lateralmente até o topo do mastro, que impedem o seu movimento para os lados
Arrais Amador;Geral;"O que significa ""cambar"" em navegação?";Girar a Proa através da linha do vento, mudando as velas de lado;Velear com o vento a favor;Inclinar a embarcação para um dos lados;Ajustar as velas para maior velocidade;Mudar a direção da corrente;Girar a Proa através da linha do vento, mudando as velas de lado
Arrais Amador;Geral;"O que é uma ""cana de leme"" em uma embarcação?";Uma parte da vela;Um tipo de vela;A alavanca que controla o leme;Um dispositivo de ancoragem;Uma parte do mastro;A alavanca que controla o leme
Arrais Amador;Geral;"O que são ""catracas"" em um barco?";Dispositivos de iluminação;Dispositivos de comunicação;Um dispositivo mecânico ou elétrico usado para aumentar a capacidade de puxar um cabo;Partes do casco;Ferramentas de navegação;Um dispositivo mecânico ou elétrico usado para aumentar a capacidade de puxar um cabo
Arrais Amador;Geral;"O que é o ""cockpit"" de uma embarcação?";Uma parte do casco;Uma ferramenta de navegação;Um tipo específico de vela;Uma alavanca de controle;Espaço na parte de trás da embarcação onde se localizam os seus comandos;Espaço na parte de trás da embarcação onde se localizam os seus comandos
Arrais Amador;Geral;"O que é uma ""cruzeta"" em termos de navegação?";Uma alavanca de controle;Um tipo de vela;Um dispositivo de ancoragem;Uma parte do mastro;Reforço lateral em forma de cruz fixada ao mastro onde se apóiam os brandais;Reforço lateral em forma de cruz fixada ao mastro onde se apóiam os brandais
Arrais Amador;Geral;"O que é um ""cunho"" em um barco?";Uma parte da vela;Uma parte do mastro;Uma ferramenta de comunicação;Uma parte do casco;Peça fixada ao convés usada para amarração de cabos;Peça fixada ao convés usada para amarração de cabos
Arrais Amador;Geral;"O que significa ""dar um jaibe"" ao velejar?";Girar a proa através da linha do vento;Girar a Popa através da linha do vento, mudando as velas de lado;Inclinar a embarcação para um lado;Mudar as velas de lado;Controlar as velas;Girar a Popa através da linha do vento, mudando as velas de lado
Arrais Amador;Geral;"O que é um ""downhaul"" em termos náuticos?";Um tipo de vela;Um dispositivo de segurança;Um cabo para ancoragem;Cabo usado para tensionar a parte de baixo da testa da vela;Um dispositivo de iluminação;Cabo usado para tensionar a parte de baixo da testa da vela
Arrais Amador;Geral;"O que é um ""esticador"" em uma embarcação?";Um dispositivo para tensionar as velas;Uma parte do mastro;Uma ferramenta de comunicação;Dispositivo usado para tensionar os estais e brandais;Uma parte do casco;Dispositivo usado para tensionar os estais e brandais
Arrais Amador;Geral;"O que significa estar ""filado ao vento"" ao velejar?";Ter o vento a favor;Estar navegando com o vento de través;Estar diretamente contra o vento, sem seguimento ou governo;Estar ancorado;Ter o vento nas costas;Estar diretamente contra o vento, sem seguimento ou governo
Arrais Amador;Geral;"O que é ""folgar"" em termos náuticos?";Soltar os estais;Soltar as escotas;Controlar as velas;Manter as velas tensionadas;Ajustar as velas para maior velocidade;Soltar as escotas
Arrais Amador;Geral;"O que é um ""fuzil"" em uma embarcação?";Uma parte do casco;Um tipo de vela;Um dispositivo de segurança;Dispositivo que conecta os estais e brandais ao convés ou casco;Uma parte do mastro;Dispositivo que conecta os estais e brandais ao convés ou casco
Arrais Amador;Geral;"O que é um ""garlindéu"" em termos náuticos?";Uma parte do casco;Um dispositivo de comunicação;Um tipo de vela;Uma parte do mastro;A junção que une a retranca ao mastro Funciona como um elo giratório que permite a retranca mover-se para cima, para baixo e de um lado para o outro;A junção que une a retranca ao mastro Funciona como um elo giratório que permite a retranca mover-se para cima, para baixo e de um lado para o outro
Arrais Amador;Geral;"O que é um ""guarda-mancebo"" em uma embarcação?";Uma Proteção de cabos de aço ao longo da borda da embarcação;Uma parte do casco;Um tipo de vela;Uma parte do mastro;Um dispositivo de iluminação;Uma Proteção de cabos de aço ao longo da borda da embarcação
Arrais Amador;Geral;"O que é a ""mastreação"" de um barco?";Um conjunto de mastros;Um dispositivo de segurança;Uma parte do casco;Um tipo de vela;Um Conjunto de mastros, retrancas, estais, brandais e demais peças que suportam as velas;Um Conjunto de mastros, retrancas, estais, brandais e demais peças que suportam as velas
Arrais Amador;Geral;"O que é a ""mestra"" em termos de navegação?";Uma parte do mastro;Uma parte do casco;Um tipo de vela;Um dispositivo de segurança;Uma Vela principal montada no mastro maior;Uma Vela principal montada no mastro maior
Arrais Amador;Geral;"O que são ""moitões"" em uma embarcação?";Partes do casco;Ferramentas de comunicação;Dispositivos de iluminação;Conjunto de roldanas que servem para guiar cabos numa direção desejada ou para compor conjuntos para a redução de esforço;Um tipo específico de vela;Conjunto de roldanas que servem para guiar cabos numa direção desejada ou para compor conjuntos para a redução de esforço
Arrais Amador;Geral;"O que é um ""nó"" em termos náuticos?";Uma medida de velocidade;Uma parte do mastro;Um tipo de vela;Um dispositivo de segurança;Uma medida de velocidade da embarcação;Uma medida de velocidade da embarcação
Arrais Amador;Geral;"O que significa ""orça fechada"" ao velejar?";Velejar com o vento soprando na mesma direção da embarcação;Velejar o mais próximo possível da linha do vento em direção contrária a este;Velejar em um ponto entre a orça e o través;Girar a proa na direção do vento;Velejar em um ângulo menor do que a orça fechada;Velejar o mais próximo possível da linha do vento em direção contrária a este
Arrais Amador;Geral;"O que é ""panejar"" em termos náuticos?";Um tipo de vela;Uma medida de comprimento;Movimento da vela de balançar irregularmente quando se solta demais a escota ou quando a proa do barco aponta para a linha do vento num ângulo menor do que a orça fechada;Um dispositivo de segurança;Uma medida de velocidade;Movimento da vela de balançar irregularmente quando se solta demais a escota ou quando a proa do barco aponta para a linha do vento num ângulo menor do que a orça fechada
Arrais Amador;Geral;"O que é uma ""bicha"" em uma embarcação?";Um tipo de vela;Uma parte do mastro;Um dispositivo de segurança;Um cabo usado para tensionar a valuma da vela;Uma medida de comprimento;Um cabo usado para tensionar a valuma da vela
Arrais Amador;Geral;"O que é o ""pé"" de uma embarcação?";Uma medida de velocidade 30,48 nos;Uma Medida equivalente a 12 polegadas ou 30,48 cm;Uma parte do mastro;Um dispositivo de segurança;Um tipo de vela;Uma Medida equivalente a 12 polegadas ou 30,48 cm
Arrais Amador;Geral;"O que é ""popa rasa"" ao velejar?";Velejar o mais próximo possível da linha do vento em direção contrária a este;Velejar com o vento soprando na mesma direção da embarcação;Girar a proa na direção do vento;Velejar em um ponto entre a orça e o través;Movimento irregular da vela;Velejar com o vento soprando na mesma direção da embarcação
Arrais Amador;Geral;"O que é a ""popa"" de uma embarcação?";Parte da frente;Parte de trás da embarcação;Uma armação de tubos na proa;Um peso sob o casco;Uma vela de proa;Parte de trás da embarcação
Arrais Amador;Geral;"O que é um ""poste de guarda-mancebo"" em um barco?";Uma parte da vela;Uma armação de tubos na proa;Uma parte da frente;Um Poste vertical que suporta cabos de aço ao longo da borda da embarcação;Uma parte do casco;Um Poste vertical que suporta cabos de aço ao longo da borda da embarcação
Arrais Amador;Geral;"O que é a ""proa"" de uma embarcação?";Parte da frente de uma embarcação;Parte de trás de uma embarcação;Uma parte do mastro;Uma armação de tubos na proa;Uma parte do casco;Parte da frente de uma embarcação
Arrais Amador;Geral;"O que é um ""púlpito"" em termos náuticos?";Uma parte do casco;Uma parte da vela;Uma armação de tubos na proa;Uma parte da frente;Uma Armação de tubos usada para proteger o velejador durante as operações na proa da embarcação;Uma Armação de tubos usada para proteger o velejador durante as operações na proa da embarcação
Arrais Amador;Geral;"O que é a ""quilha"" de um veleiro?";Uma parte do mastro;Uma parte do casco;Uma armação de tubos na proa;Uma parte da frente;Uma estrutura vertical que suporta cabos de aço ao longo da borda da embarcação;Uma parte do casco
